csa,city,csa_label,lat,long,TOTAL,RE_UNK,RE_AI_AN,RE_AS,RE_BL_AA,RE_MR,RE_WH,RE_HI_LA,RE_NH_PI,AB_UNK,AB_LT18,AB_18_24,AB_25_39,AB_40_54,AB_55_64,AB_GT65,Individual,Family,ST_PH,ST_IH,OC_PH,OC_IH
Hawthorne,Hawthorne,City of Hawthorne,33.91464836,-118.3476948,15,0,0,0,12,0,0,3,0,0,0,15,0,0,0,0,15,0,0,15,0,2
Historic Filipinotown,Los Angeles,Los Angeles - Historic Filipinotown,34.07024541,-118.2710765,277,10,1,7,148,4,16,90,1,1,84,70,46,28,34,14,137,140,0,277,0,46
Hollywood,Los Angeles,Los Angeles - Hollywood,34.10030166,-118.3538584,707,25,6,16,353,19,142,144,2,0,82,270,127,138,67,23,587,120,217,490,13,301
Hollywood Hills,Los Angeles,Los Angeles - Hollywood Hills,34.12051629,-118.3463646,27,0,0,3,7,1,6,10,0,0,3,0,7,14,3,0,25,2,27,0,0,0
Hyde Park,Los Angeles,Los Angeles - Hyde Park,33.98308248,-118.328048,40,1,0,1,21,4,4,8,1,0,0,16,12,6,5,1,38,2,0,40,0,0
Inglewood,Inglewood,City of Inglewood,33.9565274,-118.3444722,253,2,1,8,168,2,51,21,0,0,0,2,49,71,97,34,253,0,0,253,0,42
Jefferson Park,Los Angeles,Los Angeles - Jefferson Park,34.02425004,-118.3227686,10,7,1,0,0,0,0,2,0,0,0,0,3,3,3,1,10,0,0,10,0,3
Koreatown,Los Angeles,Los Angeles - Koreatown,34.05458833,-118.3043457,309,8,3,4,188,3,67,36,0,0,21,10,52,112,77,37,278,31,128,181,7,65
Lakeview Terrace,Los Angeles,Los Angeles - Lakeview Terrace,34.27465021,-118.3739795,5,0,0,0,0,0,2,3,0,0,0,0,0,3,2,0,5,0,0,5,0,1
Lancaster,Lancaster,City of Lancaster,34.69346453,-118.17534,607,19,7,4,251,18,168,138,2,2,32,63,168,175,133,34,563,44,302,305,2,149
Lawndale,Lawndale,City of Lawndale,33.8884623,-118.3531559,135,3,2,2,56,2,41,27,2,0,0,3,21,35,46,30,135,0,0,135,0,20
Leimert Park,Los Angeles,Los Angeles - Leimert Park,34.00603323,-118.3245302,80,0,1,1,50,3,12,11,2,0,0,8,33,21,13,5,78,2,0,80,0,62
Lincoln Heights,Los Angeles,Los Angeles - Lincoln Heights,34.08115569,-118.2053647,111,1,0,2,52,0,13,43,0,0,45,3,30,12,16,5,51,60,110,1,2,0
