csa,lat,long,es_20200107_roc,th_20200107_roc,psh_20200107_roc,es_20200108_roc,th_20200108_roc,psh_20200108_roc,es_20200109_roc,th_20200109_roc,psh_20200109_roc,es_20200210_roc,th_20200210_roc,psh_20200210_roc,es_20200211_roc,th_20200211_roc,psh_20200211_roc,es_20200212_roc,th_20200212_roc,psh_20200212_roc,es_20200301_roc,th_20200301_roc,psh_20200301_roc,es_20200302_roc,th_20200302_roc,psh_20200302_roc,es_20200303_roc,th_20200303_roc,psh_20200303_roc,es_20200404_roc,th_20200404_roc,psh_20200404_roc,es_20200405_roc,th_20200405_roc,psh_20200405_roc,es_20200406_roc,th_20200406_roc,psh_20200406_roc,es_cur_csa,inflow_202001,inflow_202002,inflow_202003,inflow_202004
Lomita,33.79331148,-118.3174553,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,-80,0,0,2,2,2,2,2
Long Beach,33.8055515,-118.161013,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,247.37,0,240,66,66,66,66,66
Los Feliz,34.13174773,-118.2996704,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,93.33,0,0,29,29,29,29,29
Melrose,34.08272474,-118.3345861,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,-50,-100,0,2,2,2,2,2
Monterey Park,34.04970836,-118.13253,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,11.76,0,0,19,19,19,19,19
North Hills,34.23873883,-118.4782178,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,-57.14,0,0,3,3,3,3
North Hollywood,34.19000374,-118.3907645,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,740,-100,0,84,84,84,84,84
Norwalk,33.90686916,-118.0828834,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,-21.05,0,0,45,45,45,45,45
Pacoima,34.26572279,-118.416768,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,187.5,-100,0,23,23,23,23,23
Palmdale,34.59445426,-118.1057001,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,114.29,0,0,15,15,15,15,15
Park La Brea,34.0697309,-118.3556274,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,0,0,0,0,0
Pasadena,34.15974967,-118.1389067,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,-100,0,0,0,0,0,0
Pico-Union,34.04576201,-118.2804905,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,42.86,0,0,20,20,20,20,20
Pomona,34.05847892,-117.7625986,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,158.82,0,0,44,44,44,44,44
Rancho Park,34.03645754,-118.4291142,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,-37.5,0,0,5,5,5,5
Reseda,34.19892566,-118.5385712,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,-30,0,0,7,7,7,7,7
Rosemead,34.06888099,-118.0822729,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,-47.22,0,0,19,19,19,19,19
Rowland Heights,33.96744377,-117.8718376,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,-55,0,0,9,9,9,9,9
San Pedro,33.73668302,-118.2846816,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,337.93,0,0,127,127,127,127,127
Santa Clarita,34.41747888,-118.4964757,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,88.24,0,0,32,32,32,32,32
Santa Fe Springs,33.93304314,-118.0625123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
